step, train_loss, train_time, train_acc, last_char_acc
0, 3.7174, 0.01, 0.0449, 0.0312
1, 4.6008, 4.53, 0.1729, 0.1562
2, 4.4558, 4.57, 0.0659, 0.0625
3, 3.9947, 4.61, 0.0957, 0.1562
4, 3.7811, 4.66, 0.0928, 0.1562
5, 3.5322, 4.70, 0.0732, 0.0625
6, 3.2294, 4.74, 0.0742, 0.1562
7, 3.0452, 4.77, 0.0781, 0.0938
8, 2.9218, 4.80, 0.0767, 0.0312
9, 2.9102, 4.83, 0.1699, 0.0625
10, 2.9432, 4.85, 0.1655, 0.0938
11, 2.9229, 4.88, 0.1753, 0.2500
12, 2.9074, 4.91, 0.1777, 0.1562
13, 2.8803, 4.95, 0.1724, 0.2500
14, 2.8726, 4.98, 0.1743, 0.0938
15, 2.8993, 5.01, 0.1851, 0.2812
16, 2.8490, 5.04, 0.2188, 0.2188
17, 2.8675, 5.06, 0.1851, 0.2812
18, 2.8415, 5.09, 0.1616, 0.1875
19, 2.8119, 5.12, 0.1821, 0.2188
20, 2.8283, 5.15, 0.1821, 0.1250
21, 2.7902, 5.18, 0.2007, 0.1875
22, 2.8020, 5.22, 0.1895, 0.2812
23, 2.8045, 5.26, 0.1743, 0.2188
24, 2.8103, 5.28, 0.1709, 0.1875
25, 2.7879, 5.31, 0.1694, 0.2812
26, 2.8144, 5.34, 0.1772, 0.2812
27, 2.7768, 5.38, 0.1831, 0.2500
28, 2.7833, 5.41, 0.1865, 0.1562
29, 2.7369, 5.44, 0.2046, 0.2188
30, 2.7576, 5.47, 0.2114, 0.1562
31, 2.7350, 5.49, 0.2119, 0.3125
32, 2.7272, 5.52, 0.2119, 0.3438
33, 2.6952, 5.55, 0.2134, 0.1875
34, 2.6911, 5.58, 0.2041, 0.1250
35, 2.6955, 5.61, 0.2163, 0.4062
36, 2.6846, 5.64, 0.2109, 0.2500
37, 2.6556, 5.67, 0.2500, 0.2812
38, 2.6133, 5.70, 0.2593, 0.1875
39, 2.6549, 5.73, 0.2192, 0.1875
40, 2.6448, 5.76, 0.2373, 0.2812
41, 2.6433, 5.79, 0.2471, 0.1562
42, 2.6421, 5.81, 0.2515, 0.1875
43, 2.6470, 5.85, 0.2441, 0.0938
44, 2.5789, 5.88, 0.2520, 0.2500
45, 2.6170, 5.91, 0.2490, 0.4688
46, 2.6312, 5.94, 0.2329, 0.1875
47, 2.5812, 5.96, 0.2539, 0.2188
48, 2.5947, 5.99, 0.2407, 0.1250
49, 2.5341, 6.02, 0.2651, 0.3125
50, 2.5737, 6.05, 0.2598, 0.4062
51, 2.5513, 6.08, 0.2646, 0.4375
52, 2.5529, 6.10, 0.2700, 0.2812
53, 2.5209, 6.13, 0.2803, 0.2188
54, 2.5397, 6.16, 0.2505, 0.3125
55, 2.5754, 6.19, 0.2603, 0.2500
56, 2.5340, 6.22, 0.2583, 0.1250
57, 2.5184, 6.25, 0.2656, 0.2812
58, 2.5731, 6.28, 0.2368, 0.1250
59, 2.5090, 6.30, 0.2563, 0.2188
60, 2.4889, 6.33, 0.2495, 0.2500
61, 2.5347, 6.36, 0.2271, 0.2500
62, 2.5286, 6.39, 0.2446, 0.2188
63, 2.4916, 6.42, 0.2441, 0.3438
64, 2.4823, 6.45, 0.2563, 0.3125
65, 2.4923, 6.48, 0.2441, 0.3125
66, 2.5021, 6.50, 0.2451, 0.1562
67, 2.4779, 6.53, 0.2632, 0.4062
68, 2.4663, 6.57, 0.2607, 0.2188
69, 2.4996, 6.60, 0.2505, 0.3125
70, 2.4557, 6.63, 0.2637, 0.3125
71, 2.4782, 6.66, 0.2520, 0.1875
72, 2.5029, 6.68, 0.2607, 0.3125
73, 2.4874, 6.71, 0.2339, 0.1250
74, 2.4464, 6.74, 0.2607, 0.3750
75, 2.5428, 6.77, 0.2393, 0.1250
76, 2.5198, 6.80, 0.2617, 0.2500
77, 2.4193, 6.83, 0.2817, 0.1562
78, 2.5066, 6.86, 0.2524, 0.4375
79, 2.4696, 6.89, 0.2588, 0.1875
80, 2.4331, 6.92, 0.2832, 0.3125
81, 2.4283, 6.95, 0.2686, 0.2500
82, 2.4674, 6.98, 0.2627, 0.3125
83, 2.3833, 7.01, 0.2798, 0.2500
84, 2.4950, 7.04, 0.2485, 0.1875
85, 2.4492, 7.07, 0.2725, 0.2812
86, 2.4241, 7.09, 0.2817, 0.2500
87, 2.4070, 7.12, 0.2769, 0.2500
88, 2.4365, 7.16, 0.2700, 0.2500
89, 2.4088, 7.19, 0.2637, 0.3438
90, 2.4599, 7.22, 0.2744, 0.3125
91, 2.4244, 7.25, 0.2700, 0.2500
92, 2.4512, 7.28, 0.2632, 0.2188
93, 2.4041, 7.31, 0.2642, 0.1562
94, 2.4191, 7.34, 0.2705, 0.2500
95, 2.4559, 7.37, 0.2681, 0.3125
96, 2.3731, 7.40, 0.2778, 0.3750
97, 2.4394, 7.43, 0.2695, 0.1875
98, 2.3849, 7.46, 0.2798, 0.0625
99, 2.3941, 7.49, 0.2686, 0.3125
100, 2.3799, 7.51, 0.2744, 0.1875
101, 2.3964, 7.54, 0.2954, 0.3750
102, 2.3886, 7.58, 0.2876, 0.4062
103, 2.3328, 7.61, 0.3037, 0.2500
104, 2.3964, 7.64, 0.2729, 0.1875
105, 2.3937, 7.67, 0.2944, 0.2500
106, 2.3702, 7.70, 0.2930, 0.1875
107, 2.4043, 7.73, 0.2705, 0.2188
108, 2.3758, 7.76, 0.2773, 0.2812
109, 2.4007, 7.78, 0.2695, 0.2188
110, 2.3494, 7.81, 0.2871, 0.3750
111, 2.3594, 7.83, 0.2871, 0.2188
112, 2.3814, 7.86, 0.2749, 0.1875
113, 2.3472, 7.89, 0.2998, 0.4375
114, 2.3545, 7.95, 0.2925, 0.4375
115, 2.3174, 8.00, 0.3018, 0.4375
116, 2.2987, 8.05, 0.2954, 0.3125
117, 2.3077, 8.10, 0.3042, 0.2500
118, 2.3706, 8.14, 0.2769, 0.3438
119, 2.3303, 8.18, 0.3062, 0.1875
120, 2.2815, 8.20, 0.3198, 0.3750
121, 2.3108, 8.23, 0.2974, 0.3750
122, 2.2983, 8.26, 0.3110, 0.3750
