step, train_loss, train_time, train_acc, last_char_acc
0, 3.7259, 0.02, 0.0601, 0.0312
1, 4.4668, 4.87, 0.1648, 0.1250
2, 4.4522, 4.94, 0.1052, 0.0312
3, 4.0818, 5.01, 0.0791, 0.0938
4, 3.7667, 5.06, 0.0627, 0.0000
5, 3.5309, 5.11, 0.0681, 0.0938
6, 3.2625, 5.16, 0.0654, 0.1250
7, 3.0303, 5.20, 0.0735, 0.1250
8, 2.9463, 5.25, 0.0635, 0.0625
9, 2.8829, 5.29, 0.1677, 0.1875
10, 2.9415, 5.34, 0.1692, 0.1250
11, 2.9552, 5.39, 0.1694, 0.1875
12, 2.9139, 5.43, 0.1663, 0.2188
13, 2.8796, 5.48, 0.1660, 0.1562
14, 2.8651, 5.53, 0.1719, 0.1562
15, 2.8598, 5.57, 0.2166, 0.1875
16, 2.8690, 5.62, 0.1782, 0.1250
17, 2.8604, 5.66, 0.1558, 0.1250
18, 2.8392, 5.71, 0.1655, 0.1250
19, 2.8119, 5.75, 0.1714, 0.1875
20, 2.8315, 5.80, 0.1960, 0.1875
21, 2.8155, 5.84, 0.2231, 0.1562
22, 2.7807, 5.89, 0.2109, 0.2500
23, 2.7846, 5.94, 0.2009, 0.2500
24, 2.7941, 5.98, 0.1912, 0.1875
25, 2.7907, 6.03, 0.1965, 0.0625
26, 2.7897, 6.07, 0.1885, 0.3125
27, 2.7501, 6.12, 0.1963, 0.2812
28, 2.7753, 6.16, 0.1892, 0.2500
29, 2.7501, 6.21, 0.1995, 0.1250
30, 2.7179, 6.25, 0.2017, 0.1562
31, 2.7321, 6.30, 0.2036, 0.0938
32, 2.7252, 6.34, 0.2207, 0.1250
33, 2.7075, 6.39, 0.2170, 0.2500
34, 2.7039, 6.44, 0.2266, 0.2500
35, 2.6795, 6.48, 0.2205, 0.2500
36, 2.7039, 6.53, 0.2144, 0.3125
37, 2.6565, 6.57, 0.2214, 0.2500
38, 2.6873, 6.62, 0.2207, 0.1875
39, 2.6628, 6.66, 0.2336, 0.1875
40, 2.6319, 6.71, 0.2415, 0.0938
41, 2.6179, 6.75, 0.2471, 0.3125
42, 2.6185, 6.80, 0.2305, 0.2500
43, 2.6208, 6.84, 0.2446, 0.3438
44, 2.5800, 6.89, 0.2432, 0.1562
45, 2.5807, 6.93, 0.2471, 0.3438
46, 2.5933, 6.98, 0.2551, 0.2188
47, 2.5647, 7.03, 0.2539, 0.1562
48, 2.5583, 7.07, 0.2617, 0.2500
49, 2.5715, 7.12, 0.2502, 0.2812
50, 2.5240, 7.16, 0.2681, 0.2500
51, 2.5294, 7.21, 0.2561, 0.2812
52, 2.5526, 7.25, 0.2573, 0.0938
53, 2.5133, 7.30, 0.2527, 0.3125
54, 2.5244, 7.34, 0.2554, 0.2188
55, 2.5202, 7.39, 0.2659, 0.2812
56, 2.5335, 7.44, 0.2583, 0.2188
57, 2.5038, 7.48, 0.2595, 0.3438
58, 2.5371, 7.53, 0.2546, 0.1875
59, 2.4843, 7.57, 0.2617, 0.0625
60, 2.5020, 7.62, 0.2620, 0.1250
61, 2.4878, 7.66, 0.2612, 0.4688
62, 2.5288, 7.71, 0.2563, 0.2812
63, 2.4809, 7.75, 0.2668, 0.3750
64, 2.4919, 7.80, 0.2610, 0.2500
65, 2.4841, 7.84, 0.2659, 0.2500
66, 2.5485, 7.89, 0.2307, 0.2500
67, 2.4881, 7.94, 0.2617, 0.1875
68, 2.4655, 7.98, 0.2708, 0.1875
69, 2.4925, 8.03, 0.2573, 0.3750
70, 2.4814, 8.07, 0.2585, 0.2500
71, 2.4761, 8.12, 0.2595, 0.3750
72, 2.4872, 8.16, 0.2571, 0.2188
73, 2.4980, 8.21, 0.2483, 0.1875
74, 2.4562, 8.25, 0.2551, 0.4062
75, 2.4595, 8.30, 0.2649, 0.2188
76, 2.4730, 8.34, 0.2617, 0.4375
77, 2.4263, 8.39, 0.2705, 0.1250
78, 2.4570, 8.43, 0.2556, 0.2500
79, 2.4323, 8.48, 0.2634, 0.2500
80, 2.4370, 8.53, 0.2678, 0.2812
81, 2.4452, 8.57, 0.2688, 0.1875
82, 2.4449, 8.62, 0.2678, 0.2188
83, 2.4177, 8.66, 0.2715, 0.4062
84, 2.4245, 8.71, 0.2585, 0.3125
85, 2.3775, 8.75, 0.2764, 0.4375
86, 2.4334, 8.80, 0.2664, 0.1875
87, 2.4473, 8.85, 0.2676, 0.3125
88, 2.4435, 8.89, 0.2607, 0.2188
89, 2.4411, 8.94, 0.2673, 0.3125
90, 2.4084, 8.98, 0.2795, 0.2188
91, 2.3977, 9.03, 0.2805, 0.2500
92, 2.4339, 9.07, 0.2644, 0.2188
93, 2.4240, 9.12, 0.2668, 0.2812
94, 2.3895, 9.17, 0.2734, 0.1875
95, 2.3714, 9.21, 0.2878, 0.3438
96, 2.4085, 9.26, 0.2769, 0.2188
97, 2.4056, 9.30, 0.2756, 0.3750
98, 2.3543, 9.35, 0.2905, 0.3438
99, 2.4099, 9.39, 0.2781, 0.2812
100, 2.3928, 9.44, 0.2747, 0.2500
101, 2.3825, 9.48, 0.2908, 0.6250
102, 2.3309, 9.53, 0.3035, 0.3438
103, 2.3572, 9.58, 0.2908, 0.0938
104, 2.3395, 9.62, 0.2922, 0.2188
105, 2.3477, 9.67, 0.2935, 0.3750
106, 2.3494, 9.71, 0.2861, 0.2500
107, 2.3414, 9.76, 0.2954, 0.1562
108, 2.3473, 9.80, 0.2917, 0.3438
109, 2.3139, 9.85, 0.2937, 0.2812
110, 2.3517, 9.89, 0.2937, 0.4062
111, 2.3022, 9.94, 0.2964, 0.3125
112, 2.3135, 9.99, 0.3098, 0.1875
113, 2.2977, 10.03, 0.3149, 0.4375
114, 2.3569, 10.08, 0.2864, 0.2188
115, 2.3491, 10.12, 0.2861, 0.2812
116, 2.2915, 10.17, 0.3076, 0.3438
117, 2.2994, 10.21, 0.3081, 0.1875
118, 2.3153, 10.26, 0.2983, 0.3438
119, 2.3128, 10.31, 0.3086, 0.3750
120, 2.2911, 10.35, 0.3152, 0.2188
121, 2.3060, 10.40, 0.3079, 0.3438
122, 2.2836, 10.44, 0.3149, 0.2500
123, 2.2857, 10.49, 0.3054, 0.3438
124, 2.3165, 10.53, 0.3013, 0.1875
125, 2.2768, 10.58, 0.3250, 0.3125
126, 2.2780, 10.62, 0.3135, 0.4375
127, 2.2571, 10.67, 0.3120, 0.3750
128, 2.2413, 10.72, 0.3223, 0.1875
129, 2.2635, 10.76, 0.3154, 0.4062
130, 2.2451, 10.81, 0.3274, 0.2500
131, 2.2371, 10.85, 0.3152, 0.2188
132, 2.2960, 10.90, 0.2900, 0.3750
133, 2.2235, 10.95, 0.3220, 0.3750
134, 2.2213, 10.99, 0.3335, 0.5000
135, 2.2580, 11.04, 0.3020, 0.2812
136, 2.2468, 11.08, 0.3093, 0.2812
137, 2.2388, 11.13, 0.3218, 0.3125
138, 2.2081, 11.18, 0.3293, 0.3438
139, 2.2835, 11.22, 0.3071, 0.3438
140, 2.2395, 11.27, 0.3284, 0.3750
141, 2.1687, 11.31, 0.3442, 0.3438
142, 2.2327, 11.36, 0.3271, 0.3750
143, 2.1998, 11.41, 0.3306, 0.2500
144, 2.1989, 11.45, 0.3259, 0.1562
145, 2.1838, 11.50, 0.3325, 0.4062
146, 2.1881, 11.54, 0.3254, 0.3125
147, 2.2399, 11.59, 0.3303, 0.3750
148, 2.1862, 11.63, 0.3359, 0.2188
149, 2.1758, 11.69, 0.3374, 0.3750
150, 2.2014, 11.73, 0.3242, 0.3438
151, 2.2264, 11.78, 0.3345, 0.3125
152, 2.2261, 11.83, 0.3201, 0.4375
